403.77	0.7177	0.0144	0.0051	0.8021	0.9439
413.43	0.8065	0.0100	0.0047	0.8102	0.9450
423.09	0.8951	0.0051	0.0047	0.8227	0.9465
432.75	0.9674	0.0013	0.0054	0.8356	0.9495
442.42	0.9858	0.0020	0.0071	0.8505	0.9539
452.08	0.9577	0.0069	0.0090	0.8649	0.9572
461.75	0.9180	0.0119	0.0100	0.8751	0.9592
471.41	0.8564	0.0148	0.0110	0.8849	0.9618
481.08	0.7918	0.0179	0.0129	0.8948	0.9652
490.75	0.7549	0.0304	0.0158	0.9058	0.9674
500.41	0.7289	0.0569	0.0218	0.9190	0.9701
510.08	0.6884	0.0839	0.0320	0.9353	0.9749
519.76	0.6331	0.0963	0.0407	0.9533	0.9800
529.43	0.5724	0.0967	0.0433	0.9689	0.9843
539.10	0.5089	0.0901	0.0476	0.9834	0.9897
548.78	0.4359	0.0795	0.0545	0.9982	0.9986
558.45	0.3584	0.0681	0.0614	1.0120	1.0111
568.13	0.3043	0.0610	0.0682	1.0231	1.0248
577.81	0.2806	0.0581	0.0858	1.0329	1.0295
587.49	0.2657	0.0555	0.1242	1.0418	1.0254
597.17	0.2448	0.0507	0.1881	1.0460	1.0273
606.85	0.2596	0.0544	0.2599	1.0451	1.0302
616.53	0.3057	0.0645	0.2702	1.0422	1.0200
626.21	0.3344	0.0702	0.2855	1.0419	1.0126
635.90	0.3412	0.0709	0.3031	1.0445	1.0083
645.58	0.3331	0.0678	0.3274	1.0494	1.0057
655.02	0.4349	0.0887	0.3723	1.0436	0.9990
664.89	0.7173	0.1396	0.4274	1.0200	0.9796
674.43	0.8379	0.1555	0.4471	1.0098	0.9797
683.97	0.6129	0.1170	0.4838	1.0331	1.0018
693.52	0.3011	0.0607	0.5501	1.0789	1.0838
703.07	0.1182	0.0237	0.6806	1.1112	1.2219
712.62	0.0494	0.0099	0.9273	1.1385	1.3654
722.17	0.0228	0.0048	1.3389	1.1911	1.6617
731.73	0.0130	0.0028	1.8026	1.2460	2.0595
741.29	0.0130	0.0028	2.3953	1.2291	2.2182
750.86	0.0130	0.0028	2.4733	1.2163	2.0622
760.42	0.0130	0.0028	2.5021	1.1773	1.7518
770.00	0.0130	0.0028	2.4700	1.1280	1.5023
779.57	0.0130	0.0028	2.3615	1.1215	1.3526
789.15	0.0130	0.0028	2.1978	1.1089	1.3125
798.72	0.0130	0.0028	1.9924	1.0769	1.3208
