404.59	0.7252	0.0140	0.0050	0.8959	0.8959
414.21	0.8136	0.0096	0.0047	0.8920	0.8920
423.84	0.9020	0.0047	0.0047	0.8927	0.8927
433.47	0.9714	0.0011	0.0055	0.8982	0.8982
443.09	0.9840	0.0023	0.0073	0.9044	0.9044
452.73	0.9557	0.0072	0.0091	0.9141	0.9141
462.36	0.9147	0.0122	0.0100	0.9232	0.9232
471.99	0.8519	0.0148	0.0111	0.9313	0.9313
481.62	0.7894	0.0182	0.0130	0.9391	0.9391
491.26	0.7537	0.0317	0.0160	0.9461	0.9461
500.90	0.7271	0.0585	0.0223	0.9540	0.9540
510.53	0.6859	0.0846	0.0325	0.9627	0.9627
520.17	0.6305	0.0964	0.0408	0.9725	0.9725
529.81	0.5700	0.0965	0.0434	0.9824	0.9824
539.45	0.5064	0.0898	0.0478	0.9910	0.9910
549.09	0.4333	0.0791	0.0547	0.9992	0.9992
558.74	0.3566	0.0679	0.0615	1.0087	1.0087
568.38	0.3037	0.0609	0.0686	1.0175	1.0175
578.03	0.2803	0.0580	0.0866	1.0238	1.0238
587.67	0.2652	0.0554	0.1254	1.0285	1.0285
597.32	0.2449	0.0508	0.1893	1.0325	1.0325
606.97	0.2602	0.0545	0.2600	1.0346	1.0346
616.62	0.3060	0.0646	0.2703	1.0330	1.0330
626.27	0.3344	0.0702	0.2856	1.0326	1.0326
635.93	0.3412	0.0709	0.3032	1.0332	1.0332
645.58	0.3331	0.0678	0.3274	1.0392	1.0392
653.25	0.4152	0.0846	0.3638	1.0364	1.0364
662.81	0.6562	0.1286	0.4157	1.0166	1.0166
672.37	0.8133	0.1524	0.4432	0.9995	0.9995
681.94	0.6733	0.1275	0.4737	1.0050	1.0050
691.50	0.3567	0.0712	0.5313	1.0354	1.0354
701.07	0.1473	0.0295	0.6448	1.0708	1.0708
710.64	0.0604	0.0121	0.8631	1.0887	1.0887
720.21	0.0270	0.0056	1.2517	1.0977	1.0977
729.78	0.0143	0.0031	1.6951	1.1034	1.1034
739.35	0.0130	0.0028	2.3112	1.1064	1.1064
748.93	0.0130	0.0028	2.4607	1.1091	1.1091
758.51	0.0130	0.0028	2.5000	1.1127	1.1127
768.08	0.0130	0.0028	2.4811	1.1158	1.1158
777.66	0.0130	0.0028	2.3865	1.1191	1.1191
787.24	0.0130	0.0028	2.2303	1.1225	1.1225
796.83	0.0130	0.0028	2.0687	1.1260	1.1260
